City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Avarua,CK,78.85,overcast clouds,-21.2078,-159.775,Paradise Inn
1,Poum,NC,75.42,few clouds,-20.2333,164.0167,Gîte kajeon
3,Hit,IQ,76.91,clear sky,33.6416,42.8251,صالون زيرو
5,Moree,AU,64.42,overcast clouds,-29.4667,149.85,Molika Springs Motel
7,Karratha,AU,78.89,clear sky,-20.7377,116.8463,ibis Styles Karratha
9,Naze,JP,77.88,broken clouds,28.3667,129.4833,オーベルジュ・アガルイ
10,Rio Grande,BR,63.95,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
11,Bilma,NE,81.88,scattered clouds,18.6853,12.9164,Expeditions Ténére voyages
14,Skibbereen,IE,51.6,scattered clouds,51.55,-9.2667,The West Cork Hotel
15,Puerto Ayora,EC,69.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
20,Bethel,US,62.96,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
21,Garowe,SO,77.23,light rain,8.4054,48.4845,Curubo Hotel
23,Santiago Del Estero,AR,70.81,scattered clouds,-27.7951,-64.2615,Apartamentos Castelli 90
24,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
25,Cruzeiro Do Sul,BR,68.49,overcast clouds,-29.5128,-51.9853,Estrela Palace Hotel
26,Saurimo,AO,74.41,broken clouds,-9.6608,20.3916,Hotel Kawissa Saurimo
27,Busselton,AU,60.08,overcast clouds,-33.65,115.3333,Observatory Guest House
30,Astakos,GR,64.35,light rain,38.5356,21.0814,Stratos S.A.
31,Alofi,NU,77.34,overcast clouds,-19.0595,-169.9187,Taloa Heights
32,Colesberg,ZA,54.79,clear sky,-30.72,25.0972,Bhelekazi Guesthouse
33,Shiyan,CN,51.93,overcast clouds,32.6475,110.7781,Fenghuang Garden Holiday Hotel
35,Le Vauclin,MQ,79.84,clear sky,14.5452,-60.8388,Hôtel Cap Macabou
36,Rikitea,PF,74.82,overcast clouds,-23.1203,-134.9692,People ThankYou
37,Dunedin,NZ,57.79,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
39,Vao,NC,70.48,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
40,Linfen,CN,50.31,broken clouds,36.0889,111.5189,Suoxing Hotel
41,Airai,TL,74.25,overcast clouds,-8.9266,125.4092,Juvinal Martin
43,Albany,US,62.1,overcast clouds,42.6001,-73.9662,
44,Jamestown,US,65.79,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
45,Port Alfred,ZA,58.3,few clouds,-33.5906,26.891,The Halyards Hotel
46,Marsabit,KE,66.49,few clouds,2.3284,37.9899,Chicho Hotel
48,Lompoc,US,80.78,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
49,Roma,US,67.84,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
50,Ribeira Grande,PT,69.48,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
51,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
52,Ponta Do Sol,PT,72.23,few clouds,32.6667,-17.1,Hotel do Campo
55,Half Moon Bay,US,82.42,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
56,Atuona,PF,78.39,scattered clouds,-9.8,-139.0333,Villa Enata
57,Hithadhoo,MV,82.72,overcast clouds,-0.6,73.0833,Scoop Guest House
59,Mvuma,ZW,53.76,overcast clouds,-19.2792,30.5283,Nyangombe Backpackers
61,Santa Luzia,BR,67.1,overcast clouds,-19.7697,-43.8514,Pousada Chao Earth
62,Saint-Philippe,RE,71.15,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
63,Gangapur,IN,77.86,clear sky,26.4833,76.7167,OYO 45271 Hotel Haveli
64,Flinders,AU,60.39,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
67,Castro,BR,56.44,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
68,Kumluca,TR,75.06,clear sky,36.3703,30.2869,TurkuazKöy
69,Nailsea,GB,51.53,few clouds,51.4324,-2.7585,The Old Smithy
70,Batemans Bay,AU,60.19,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
71,Cape Town,ZA,64.11,overcast clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
72,Hilo,US,81.39,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
73,Miles City,US,66.51,clear sky,46.4083,-105.8406,FairBridge Inn & Suites Miles City
74,Tenosique,MX,80.73,scattered clouds,17.4833,-91.4333,Hotel Central
75,Adrar,MR,85.53,overcast clouds,20.5022,-10.0711,
77,Carnarvon,AU,68.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
78,Saint George,US,74.62,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
80,Havelock,US,73.92,broken clouds,34.8791,-76.9013,Sherwood Motel
81,Geraldton,AU,58.12,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
82,Hobart,AU,55.02,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
83,Severo-Kurilsk,RU,50.81,moderate rain,50.6789,156.125,Kak Doma
84,Oussouye,SN,79.9,broken clouds,12.485,-16.5469,Auberge du Routard
88,Tandil,AR,58.3,overcast clouds,-37.3217,-59.1332,HOSTAL DE LA SIERRA TANDIL
91,Namatanai,PG,84.13,light rain,-3.6667,152.4333,Seagulls Inn Namatani
93,Pangai,TO,72.88,heavy intensity rain,-19.8,-174.35,Ha'apai Beach Resort
